time_s,load_MW,measured_frequency_Hz,model_frequency_Hz,measured_electrical_power_MW,model_electrical_power_MW,measured_gate_pu,model_gate_pu,measured_flow_m3s,model_flow_m3s,measured_penstock_inlet_Pa,measured_penstock_outlet_Pa,frequency_residual_Hz,power_residual_MW
0.0,75.0,50.00217443334406,49.99999988154881,75.02503144000015,74.99999982232322,0.53867660914523,0.5388818068131992,22.149035580987146,22.148077014934632,3.74056157539125e6,3.738877003826285e6,0.002174551795249613,0.025031617676930296
0.05,75.05282795523227,50.0014330719869,49.99987907861763,75.05253664837677,75.05264644539814,0.538675025226121,0.5388819133291639,22.14434450376137,22.148077312506125,3.7406041597590144e6,3.7388654152453435e6,0.0015539933692707564,-0.0001097970213663757
0.1,75.10434862497463,50.00094598851955,49.99952197032939,75.115422480295,75.10363058283396,0.5391835002180588,0.5388826386435603,22.145466406273123,22.148081430257147,3.7405749520400013e6,3.738874482984837e6,0.0014240181901570281,0.011791897461037593
0.15,75.15333070531031,50.00173789573099,49.99893764712991,75.15512226509017,75.15173391817889,0.538603809965253,0.5388845475402878,22.151036648857172,22.14809781046403,3.7405741813398413e6,3.7387992504638904e6,0.0028002486010834104,0.0033883469112794273
0.2,75.1986898751306,49.99857389478391,49.99814075205463,75.14783817784503,75.1958936149377,0.5385327456402622,0.5388881398818339,22.14784531585094,22.148138231887877,3.740606530864516e6,3.7387155333686657e6,0.0004331427292783019,-0.04805543709267113
0.25,75.23955017275416,49.99764859539827,49.99715032829554,75.23872368507485,75.2352620124105,0.5389066515220955,0.5388938413771918,22.14482811584143,22.148216253283287,3.740526693836914e6,3.7385963188067996e6,0.0004982671027278229,0.003461672664343496
0.3,75.27529175292814,49.992630052968785,49.99598886620616,75.2477840112625,75.26925296759632,0.538867301787941,0.5389019979013128,22.155609035708913,22.148345990128014,3.7404833206661316e6,3.7385040398660917e6,-0.0033588132373765234,-0.021468956333819733
0.35,75.30558194756607,49.99201479735941,49.994681181748504,75.33362190173331,75.29757121349202,0.539007180198419,0.5389128730232653,22.149601826451928,22.14854113656961,3.740426399819074e6,3.738307057648977e6,-0.0026663843890943895,0.03605068824128921
0.4,75.33038767859931,49.992120429400664,49.99325307422853,75.30762592663258,75.32022270791924,0.5385559312525143,0.538926648519962,22.152285485383715,22.148814235485737,3.7403933843766283e6,3.7380986845088056e6,-0.0011326448278623502,-0.01259678128666053
0.45,75.34996852655505,49.9906694030591,49.99173006206646,75.3469918763322,75.33750573529488,0.5390788315569598,0.5389434288476456,22.149137029088823,22.149176144249694,3.7403130418899e6,3.7379153651547837e6,-0.001060659007357856,0.009486141037314155
0.5,75.36485105864887,49.993914022380736,49.990136055750284,75.3648553608864,75.34998316486426,0.5390371822545317,0.5389632478114301,22.15397696163602,22.14963570205677,3.7402297161145797e6,3.737726080331702e6,0.0037779666304516013,0.014872196022139406
0.55,75.37578627699965,49.99021531945147,49.98849225581329,75.3227662473418,75.3584381716727,0.5389143472225177,0.5389860793489836,22.153365825387194,22.150199561515283,3.740174868496614e6,3.737478935953129e6,0.0017230636381810882,-0.03567192433089872
0.6,75.38369317573292,49.98398786474842,49.986816259257424,75.39106971770414,75.36381639439197,0.5389339950260621,0.5390118484429283,22.15317953866124,22.150872180893217,3.7401121559868795e6,3.737339947264933e6,-0.0028283945090024076,0.027253323312166344
0.65,75.38959231873557,49.98419718164426,49.98512136192604,75.35876602901098,75.3671584295625,0.5392503609357691,0.5390404453016168,22.153686930327144,22.15165594521759,3.740049934179981e6,3.737130331056332e6,-0.0009241802817783196,-0.008392400551514356
0.7,75.39453400516227,49.98209239417228,49.98341630180257,75.31800479719352,75.36952760120872,0.5394918496383185,0.5390717385415166,22.153816955141036,22.152551398852054,3.740012688559646e6,3.736922275751694e6,-0.0013239076302937747,-0.05152280401519249
0.75,75.399525933233,49.98511448459221,49.981705179832936,75.38075721800824,75.3719375178804,0.5395764704635819,0.53910558826703,22.16111516889904,22.153557536574937,3.7399599033512003e6,3.7367379792687837e6,0.0034093047592733683,0.008819700127844499
0.8,75.40546528143524,49.975898447884035,49.97998789100633,75.36742283880395,75.37528483363663,0.5393129393390724,0.539141859244065,22.160008536111825,22.154672217728503,3.739907362370827e6,3.7366030437611747e6,-0.004089443122296643,-0.007861994832680352
0.85,75.41307979980014,49.97804412270749,49.978260577069356,75.37975788279694,75.38029106307474,0.5395307469655684,0.5391804292660508,22.1622888910897,22.15589249315588,3.7398778475237284e6,3.736486551084615e6,-0.0002164543618690118,-0.000533180277798806
0.9,75.42288186514712,49.97783418225649,49.97651657515957,75.39314394925715,75.38745811359654,0.5396911808438506,0.539221198413523,22.16420026557739,22.157215003990643,3.7398405206059585e6,3.73635633194503e6,0.0013176070969151965,0.005685835660614202
0.95,75.43513854703299,49.974715243653826,49.97474760889965,75.40126163178829,75.39704019460702,0.5395769504287695,0.5392640927454934,22.169368619554284,22.158636376949033,3.7397853642100035e6,3.7362376898193075e6,-3.236524582206357e-5,0.004221437181271881
1.0,75.44985961783239,49.97399612407212,49.97294447644962,75.40753025790544,75.40903290875714,0.5396074335675399,0.5393090655084698,22.166015309778537,22.160153434649292,3.73978551806954e6,3.7361518513093865e6,0.0010516476225035376,-0.0015026508517053117
1.05,75.46680419715756,49.97430871373456,49.9710986034166,75.45822588861326,75.42318227641789,0.5397794911288892,0.5393560972087316,22.170674160875667,22.16176347043075,3.7396964262650874e6,3.7360126003055167e6,0.003210110317958481,0.035043612195366336
1.1,75.48550543277601,49.96869749501469,49.96920309533145,75.44858629556738,75.4390110344826,0.5397542686500034,0.53940518978682,22.17454345718695,22.163464377145218,3.739721759250244e6,3.7359660477796183e6,-0.0005056003167638323,0.009575261084776798
1.15,75.50531137538438,49.969911637111665,49.967253375277956,75.46240284253942,75.45586049346176,0.539806689627815,0.5394563598728301,22.179536134883016,22.16525466808445,3.7396622452288102e6,3.735874609820699e6,0.002658261833708764,0.006542349077662379
1.2,75.52543908814991,49.96811946606818,49.96524816975334,75.5009449742632,75.47294614337999,0.5398774817668303,0.5395096317233263,22.177623807177095,22.167133440941623,3.739687938757129e6,3.7357867299996708e6,0.002871296314843619,0.027998830883220194
1.25,75.54503812013539,49.96758634739953,49.96318992439352,75.49528547657795,75.48942174883744,0.5398061972216263,0.5395650271218067,22.179646068490133,22.16910027497835,3.7396583788062744e6,3.7357165501781837e6,0.004396423006014061,0.005863727740504032
1.3,75.56325882788772,49.95979901026018,49.9610848610746,75.51077627767197,75.50444773358886,0.5400178231362134,0.5396225543199091,22.187472088090338,22.171154988307798,3.739586333040619e6,3.735627730338032e6,-0.001285850814426226,0.006328544083103793
1.35,75.57932069564943,49.96251776641588,49.95894289288151,75.5279531053953,75.51725933033454,0.5398841649824259,0.5396822016478986,22.185295908036554,22.173297432941453,3.7396037314806688e6,3.7355604817121984e6,0.0035748735343688054,0.010693775060758526
1.4,75.59257580465457,49.95928894203429,49.95677726709083,75.5030922678281,75.52722945037615,0.5397879439609113,0.5397439275319799,22.193426418155987,22.175527261380655,3.739580887947353e6,3.7354724456960876e6,0.002511674943463049,-0.024137182548059855
1.45,75.60256293579705,49.955389976732135,49.95460339690933,75.5585582347789,75.53392094495237,0.5404241369414158,0.5398076553726852,22.194360417977276,22.17784354384776,3.7395314180085217e6,3.735441258649341e6,0.0007865798228081644,0.02463728982652924
1.5,75.60904843479844,49.95412585861434,49.95243854133545,75.54166169425412,75.53712690216248,0.5405074788919114,0.5398732718049698,22.198074765060767,22.180244633671514,3.7394973818495283e6,3.735370829362069e6,0.0016873172788933744,0.004534792091632767
1.55,75.6120508808036,49.951758303345436,49.95030041704708,75.51086869273881,75.53689313290378,0.5405208163448101,0.5399406256908403,22.19648255257792,22.18272796392438,3.739469710339027e6,3.7353104188239784e6,0.001457886298354083,-0.026024440164974294
1.6,75.61184771578476,49.95146738960175,49.94820590118507,75.58351976609306,75.53352276554133,0.5404480384464726,0.5400095267113498,22.200325059800374,22.185289802849457,3.7394910090206987e6,3.7352559955583317e6,0.003261488416683278,0.049997000551726956
1.65,75.6089632369373,49.94580146896581,49.94616974136148,75.50875295145012,75.5275622360086,0.5403481494943813,0.5400797585789027,22.200750752024472,22.187925284266445,3.739473492374845e6,3.735216313103781e6,-0.0003682723956686118,-0.018809284558486183
1.7,75.60413864230767,49.947569939053,49.94420417759059,75.53515586223227,75.51977074044562,0.5406930169213262,0.5401510825475443,22.203969450491517,22.190628420047695,3.7394775791679104e6,3.7352355353607624e6,0.0033657614624047483,0.015385121786650302
1.75,75.59828606311459,49.94538166912635,49.94231741391942,75.51697453405312,75.51107197024697,0.5408859928049691,0.5402232475403179,22.211749889920902,22.19339222811405,3.7394679587128577e6,3.735196798575939e6,0.003064255206929545,0.005902563806145622
1.8,75.59242962954,49.94349152907885,49.940513021986234,75.53434204522658,75.50249432555242,0.5407234964915877,0.5402960002108806,22.216328789860704,22.19620879795187,3.739462905584446e6,3.735216311157659e6,0.0029785070926138246,0.03184771967416111
1.85,75.58763752392885,49.93912786425496,49.93878977781318,75.50024287554714,75.49510280218053,0.5408290755607736,0.5403691038929006,22.216421899086217,22.19906978914423,3.7395016636825227e6,3.7352684307526546e6,0.0003380864417792395,0.005140073366618481
1.9,75.58494961411552,49.94216314563072,49.9371416097688,75.5004617196954,75.48992664894652,0.5409046244220297,0.5404423433266208,22.221232819667737,22.20196655638745,3.739486528101982e6,3.7353228004277344e6,0.0050215358619212225,0.0105350707488725
1.95,75.5853055860439,49.9412080288053,49.9355576485598,75.46305944679041,75.48788768951808,0.5411221855876406,0.5405155384310354,22.220861176496637,22.20489062456784,3.7395193359801318e6,3.7353547554353112e6,0.005650380245498354,-0.02482824272766493
2.0,75.5894784862776,49.93962674945311,49.93402300078564,75.54222440872634,75.48973514702354,0.5410592670826606,0.5405885546194009,22.228704007026327,22.207833956539666,3.739581503630688e6,3.7354499192004637e6,0.005603748667468267,0.05248926170280299
2.05,75.59801824156241,49.93552639450431,49.9325200390644,75.51215978629116,75.49599121520743,0.5410857435128953,0.5406613083749822,22.224309424125604,22.210789526272574,3.7395848621025383e6,3.7355039977942747e6,0.003006355439907793,0.016168571083738925
2.1,75.61120906726919,49.93584501462163,49.93102858753874,75.52154478531052,75.50690882952372,0.5409404192808787,0.54073376907586,22.236290254162995,22.213751409615444,3.7396066321477224e6,3.7355769575130264e6,0.004816427082886321,0.014635955786800992
2.15,75.62904375355282,49.93107591535741,49.929527791704075,75.53164196259304,75.52244883906039,0.5410939033081809,0.5408059600200792,22.239534517164074,22.216715086591872,3.739611919795315e6,3.7356856055887598e6,0.0015481236533361198,0.009193123532654113
2.2,75.65121668990784,49.9346470484731,49.92799748608675,75.55676202716478,75.54227513426244,0.5415846297059833,0.5408779624457312,22.243257814903842,22.219677797408096,3.7396557750897505e6,3.7357158159815692e6,0.006649562386350283,0.014486892902340287
2.25,75.67713623198587,49.933370132862,49.92641987524647,75.58580509312605,75.56576956948706,0.5413107793338289,0.5409498976116959,22.237671558399274,22.22263848064603,3.739681496418882e6,3.735785883984962e6,0.006950257615535804,0.0200355236389953
2.3,75.70595571436797,49.9314759394644,49.924779937581356,75.6184720777496,75.59206358008201,0.5413857172676729,0.5410219204698669,22.24291270161519,22.22559774642262,3.7397109424281092e6,3.735875273762382e6,0.006696001883042868,0.026408497667588904
2.35,75.7366211577525,49.926811201456125,49.92306671526856,75.62319710841858,75.62008781694998,0.5413061947675556,0.5410942135685755,22.24259077801242,22.2285577623584,3.739718425286941e6,3.7359010637539853e6,0.0037444861875641777,0.0031092914686041695
