t,H_m,gate_pu,Q_measured_m3s,Q_model_m3s,P_measured_MW,P_model_MW,rolling_RMSE_Q_m3s,rolling_RMSE_P_MW,rolling_REL_RMSE_Q_pct,rolling_REL_RMSE_P_pct,model_health,static_upward_headroom_MW,screening_fcr_MW,trusted_screening_fcr_MW
39.0,392.81163087011555,0.0,0.10234823566579938,NaN,-0.22996622855636187,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
40.0,392.8067558905642,0.0,0.10174864833054764,NaN,-0.22997851884585802,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
41.0,392.80147575480277,0.0,0.10154972364646694,NaN,-0.2300048551804926,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
42.0,392.79975954777046,0.0,0.10184414650107443,NaN,-0.2300030994248503,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
43.0,392.79600755002974,0.0,0.1018683918855574,NaN,-0.2297801184582775,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
44.0,392.7930595211087,0.0,0.1022275202493863,NaN,-0.2297836299695621,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
45.0,392.79164157183124,0.0,0.10220685540691558,NaN,-0.23002768000384238,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
46.0,392.79165469960043,0.0,0.10182297015260197,NaN,-0.23029104335018813,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
47.0,392.79225978625567,0.0,0.10126476365289183,NaN,-0.23054738367396466,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
48.0,392.79054711742083,0.0,0.10087535413375931,NaN,-0.230900290558068,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
49.0,392.7891174525643,0.0,0.10163003008874175,NaN,-0.2304824207151995,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
50.0,392.7876392257762,0.0,0.10227749438575731,NaN,-0.23088273300164505,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
51.0,392.7904044302088,0.0,0.1025713034331627,NaN,-0.23100563589660647,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
52.0,392.7919641809344,0.0,0.10216900396278607,NaN,-0.23106357583280263,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
53.0,392.79207269065824,0.0,0.10196675448969399,NaN,-0.23098807834018348,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
54.0,392.79295454113554,0.0,0.10188163989100273,NaN,-0.2312180823293254,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
55.0,392.793459789878,0.0,0.10155703818229198,NaN,-0.23113731756977934,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
56.0,392.79372484801473,0.0,0.10180828993035174,NaN,-0.23105128554330637,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
57.0,392.7929356484915,0.0,0.1020402579021455,NaN,-0.23085990817829505,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
58.0,392.7950630153191,0.0,0.10225422086267767,NaN,-0.23046310740313417,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
59.0,392.7966936413125,0.0,0.10207273853325666,NaN,-0.23056845274167242,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
60.0,392.8000235508007,0.0,0.10209611435753664,NaN,-0.23059654483194936,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
61.0,392.8013820704952,0.0,0.10202583343289615,NaN,-0.2303121124178959,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
62.0,392.8053486107854,0.0,0.10277917947227404,NaN,-0.23022959190270745,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
63.0,392.8080689286601,0.0,0.10342915014869818,NaN,-0.2303384487525304,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
64.0,392.8099606155122,0.0,0.10373093868973088,NaN,-0.22980645479291192,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
65.0,392.81363405011825,0.0,0.10397400634176263,NaN,-0.2294517921531663,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
66.0,392.8167195635588,0.0,0.10378040132010014,NaN,-0.22972217852208143,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
67.0,392.8213450213157,0.0,0.1035032673683518,NaN,-0.22970462096565838,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
68.0,392.82631757698505,0.0,0.10374991556239581,NaN,-0.23029806637275757,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
69.0,392.830229321495,0.0,0.104094517155775,NaN,-0.23052104733933035,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
70.0,392.83286772496626,0.0,0.10402582189973994,NaN,-0.2303033336396844,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
71.0,392.83547835257883,0.0,0.10357319023879107,NaN,-0.2303314257299613,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
72.0,392.83927848632067,0.0,0.10289206884686034,NaN,-0.2300926429626078,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
73.0,392.84329437977095,0.0,0.10241974420484408,NaN,-0.23003997029333867,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
74.0,392.849688364713,0.0,0.10182435121880669,NaN,-0.2304947110046958,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
75.0,392.8550125797208,0.0,0.10173959467431666,NaN,-0.23075983010668394,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
