scenario,max_screen_MW,static_headroom_MW,delivered_5s_MW,delivered_30s_MW,gate_cmd_pu
nominal,10.25,9.755360318013828,9.755359884628461,9.755360318013715,1.0
low_gain,9.95,9.480773762357813,9.480746266622077,9.4807737623577,1.0
slow_servo,10.25,9.755360318013828,9.755000126964205,9.75536031801363,1.0
low_head,10.0,9.519377971454318,9.519373336295061,9.519377971454205,1.0
conservative,9.75,9.302319334149587,9.301982281384653,9.30231933414936,1.0
