t,p_in,p_out,h_tailwater_m,H,Q,dm,omega,omega_pu,tau_o,P_elec,P_mech,eta,n_rpm,P_elec_MW
42,4.0180752053542077e6,164709.56419057975,24.887671598333778,392.79975954777046,0.10184414650107443,101.84414650107443,38.746478058782856,0.9866709616731132,0.0,-230003.0994248503,-233505.68469527952,NaN,370.00161062741745,-0.2300030994248503
43,4.0180357903904375e6,164706.95632464573,24.887635651218982,392.79600755002974,0.1018683918855574,101.8683918855574,38.74647686856265,0.9866709313644044,0.0,-229780.11845827752,-233279.30807946957,NaN,370.0015992616517,-0.2297801184582775
44,4.018003125389881e6,164703.21148780466,24.887755782175216,392.7930595211087,0.1022275202493863,102.2275202493863,38.74647565689703,0.9866709005095929,0.0,-229783.62996956208,-233282.87306554525,NaN,370.00158769109737,-0.2297836299695621
45,4.0179863107493725e6,164700.30692970802,24.88774548962527,392.79164157183124,0.10220685540691558,102.20685540691558,38.74647512076181,0.9866708868570214,0.0,-230027.6800038424,-233530.63959780955,NaN,370.00158257138304,-0.23002768000384238
46,4.0179827549651787e6,164696.62236209854,24.88751413768141,392.79165469960043,0.10182297015260197,101.82297015260197,38.74647593568735,0.9866709076089301,0.0,-230291.04335018812,-233798.01355349048,NaN,370.0015903533488,-0.23029104335018813
47,4.0179840808508093e6,164692.01234764155,24.887373268005106,392.79225978625567,0.10126476365289183,101.26476365289183,38.746477629874676,0.986670950751056,0.0,-230547.38367396465,-234058.25753701996,NaN,370.001606531646,-0.23054738367396466
48,4.0179638912286935e6,164688.6240067951,24.88728109591592,392.79054711742083,0.10087535413375931,100.87535413375932,38.7464762895366,0.9866709166196272,0.0,-230900.290558068,-234416.53863763248,NaN,370.0015937323602,-0.230900290558068
49,4.017946232842783e6,164684.99063312722,24.887231783848197,392.7891174525643,0.10163003008874175,101.63003008874175,38.74647879864948,0.9866709805136619,0.0,-230482.4207151995,-233992.30529461877,NaN,370.0016176926232,-0.2304824207151995
50,4.01793056328532e6,164683.82248045565,24.887350839463394,392.7876392257762,0.10227749438575731,102.27749438575731,38.74647966718854,0.9866710026308275,0.0,-230882.73300164504,-234398.71370725386,NaN,370.0016259865603,-0.23088273300164505
51,4.0179582260809946e6,164684.3586206459,24.887594173778837,392.7904044302088,0.1025713034331627,102.5713034331627,38.74648037488704,0.9866710206522219,0.0,-231005.63589660646,-234523.48821990503,NaN,370.0016327445832,-0.23100563589660647
